POS_X,POS_Y,Speed
10.6661,0.259327,24.0167
12.2071,0.248026,24.1112
13.7829,0.229505,24.2077
15.3588,0.205151,24.3039
16.9142,0.176821,24.3984
18.4449,0.145982,24.4909
19.9683,0.113287,24.5824
21.5094,0.078858,24.6744
23.0232,0.0441808,24.7643
24.5282,0.00917988,24.8531
26.0596,-0.0267567,24.9429
27.6295,-0.0637855,25.0345
29.1778,-0.100396,25.1244
30.6983,-0.136381,25.2121
32.2644,-0.173442,25.302
33.7921,-0.209575,25.3074
35.3079,-0.245399,25.119
36.7982,-0.280596,24.7331
38.2617,-0.315147,24.3398
39.6935,-0.348948,24.0214
41.109,-0.38238,23.731
42.4858,-0.410976,23.4526
43.8599,-0.429068,23.2056
45.2148,-0.444365,23.1017
46.559,-0.454971,23.062
47.8868,-0.460115,23.0142
49.2122,-0.460538,22.9661
50.5639,-0.45705,22.9161
51.8959,-0.450634,22.8661
53.2517,-0.441843,22.8253
54.5538,-0.431827,22.8086
55.8519,-0.420735,22.8111
57.1639,-0.408731,22.8289
58.473,-0.396198,22.859
59.7737,-0.38337,22.8988
61.0876,-0.370155,22.9473
62.382,-0.35697,23.0019
63.6859,-0.343579,23.0625
65.0263,-0.329741,23.1298
66.3536,-0.315992,23.2007
67.7016,-0.301999,23.2586
69.0462,-0.28802,23.2217
70.3606,-0.274343,23.088
71.6821,-0.260587,22.7855
72.9696,-0.247187,22.4088
74.2298,-0.234082,22.0379
75.4853,-0.221051,21.7145
76.7225,-0.208248,21.403
77.9242,-0.195855,21.0901
79.1018,-0.183756,20.7743
80.3027,-0.171565,20.4432
81.4481,-0.165127,20.1175
82.7043,-0.17033,19.7514
83.8485,-0.177353,19.4094
84.9397,-0.187876,19.0762
86.029,-0.203021,18.737
87.0723,-0.221517,18.4058
88.1143,-0.243216,18.0686
89.1284,-0.266782,17.7343
90.1298,-0.291886,17.3979
91.0995,-0.317512,17.0663
92.0639,-0.343969,16.712
93.0164,-0.370806,16.3397
93.9348,-0.397172,15.9746
94.832,-0.423277,15.5564
95.7108,-0.44909,15.1254
96.5655,-0.474369,14.6998
97.4053,-0.499336,14.2747
98.2138,-0.523465,13.8588
99.0048,-0.547137,13.445
99.7717,-0.570144,13.037
100.512,-0.592402,12.6362
101.236,-0.614189,12.2377
101.937,-0.63533,11.8446
102.614,-0.655747,11.4586
103.259,-0.67526,11.0835
103.89,-0.694339,10.7105
104.501,-0.712863,10.342
105.088,-0.730657,10.103
105.657,-0.747916,9.96825
106.222,-0.765071,9.82455
106.78,-0.782029,9.68753
107.332,-0.798798,9.55774
107.877,-0.815383,9.43477
108.417,-0.831792,9.31817
108.941,-0.847751,9.2094
109.469,-0.863805,9.10433
109.986,-0.879549,9.00526
110.496,-0.895079,8.91125
111.009,-0.910688,8.82023
111.512,-0.926009,8.73402
112.009,-0.941131,8.65183
112.497,-0.95601,8.57361
112.983,-0.970804,8.49822
113.459,-0.985324,8.42642
113.932,-0.999742,8.35714
114.402,-1.01405,8.29022
114.874,-1.02844,8.2247
115.34,-1.04265,8.16162
115.806,-1.05686,8.10003
116.265,-1.07087,8.04072
116.715,-1.08459,7.98385
117.168,-1.09841,7.92781
117.614,-1.112,7.87383
118.058,-1.12555,7.82105
118.501,-1.13908,7.76933
118.948,-1.1527,7.71757
119.38,-1.17191,7.66146
119.807,-1.20299,7.59748
120.233,-1.25002,7.52413
120.652,-1.31612,7.44119
121.061,-1.40336,7.3487
121.458,-1.51452,7.24566
121.843,-1.65198,7.14258
122.21,-1.81378,7.0582
122.567,-2.00117,6.98313
122.905,-2.20968,6.9135
123.231,-2.44292,6.84641
123.531,-2.69119,6.7836
123.812,-2.95746,6.72337
124.068,-3.23506,6.6665
124.304,-3.52895,6.61146
124.522,-3.84088,6.55755
124.716,-4.16125,6.50611
124.884,-4.48803,6.45683
125.032,-4.82801,6.44764
125.164,-5.16859,6.475
125.296,-5.51597,6.48595
125.428,-5.86748,6.49077
125.568,-6.21321,6.52937
125.72,-6.57315,6.56073
125.87,-6.92559,6.65504
126.019,-7.27751,6.70451
126.162,-7.63331,6.80693
126.297,-8.00197,6.85928
126.418,-8.38064,6.97753
126.528,-8.76697,7.07052
126.63,-9.16467,7.19078
126.717,-9.57135,7.29428
126.791,-9.98533,7.44539
126.871,-10.4214,7.572
126.958,-10.8494,7.60232
127.047,-11.2786,7.60138
127.137,-11.7121,7.59212
127.226,-12.1412,7.76638
127.316,-12.5824,7.97778
127.399,-13.0339,8.16532
127.47,-13.4993,8.34288
127.524,-13.9803,8.53451
127.565,-14.474,8.73995
127.612,-14.9767,8.93862
127.664,-15.4919,9.13878
127.716,-16.0173,9.33544
127.77,-16.5609,9.53159
127.823,-17.1054,9.72127
127.879,-17.6759,9.91032
127.931,-18.2519,10.0841
127.97,-18.8328,10.2425
127.994,-19.4198,10.419
128.015,-20.0224,10.5964
128.038,-20.6396,10.7758
128.061,-21.2597,10.9512
128.083,-21.8879,11.1241
128.105,-22.5286,11.2959
128.126,-23.1794,11.4661
128.149,-23.8498,11.637
128.171,-24.5271,11.8057
128.193,-25.1965,11.9686
128.217,-25.8945,12.1347
128.239,-26.5839,12.2953
128.263,-27.2872,12.4558
128.287,-28.0027,12.6158
128.31,-28.7223,12.7736
128.336,-29.4804,12.9367
128.36,-30.2247,13.0195
128.385,-30.9705,12.9913
128.414,-31.8336,12.9791
128.439,-32.5758,13.1123
128.464,-33.3309,13.2878
128.494,-34.2296,13.4891
128.52,-35.0177,13.6589
128.546,-35.8082,13.8235
128.572,-36.5938,13.9819
128.599,-37.3834,14.1361
128.626,-38.1857,14.2882
128.653,-39.0002,14.4382
128.68,-39.8138,14.584
128.708,-40.6502,14.7299
128.736,-41.4827,14.8716
128.764,-42.322,15.011
128.793,-43.1841,15.151
128.821,-44.0291,15.2852
128.85,-44.8841,15.4184
128.878,-45.7451,15.5498
128.908,-46.6175,15.6806
128.937,-47.4894,15.8089
128.966,-48.3587,15.9348
128.996,-49.2533,16.0622
129.03,-50.291,16.2021
129.052,-51.2087,16.3258
129.072,-52.1492,16.4536
129.091,-53.0822,16.5788
129.108,-54.0153,16.7025
129.124,-54.9494,16.8247
129.138,-55.886,16.9456
129.152,-56.8259,17.0657
